IUCR,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year
2017,0,0,1,1134,011,28,27,2013
1153,0,1,1,0432,004,10,52,2017
1120,0,1,1,0124,001,2,28,2012
1150,0,1,1,1111,011,37,25,2017
1310,0,1,1,1935,019,43,7,2017
1153,0,1,1,2234,022,34,75,2014
0910,0,1,1,2411,024,49,2,2008
0910,0,1,1,0835,008,18,70,2017
2091,0,0,1,1651,016,41,76,2017
1154,0,1,1,1434,014,32,22,2016
1310,0,1,1,1925,019,46,6,2018
1153,0,1,1,0611,006,17,71,2017
1812,0,0,1,1134,011,24,29,2017
1153,0,1,1,0931,009,16,61,2016
0810,0,1,1,0114,001,42,32,2017
0820,0,1,1,1434,014,1,24,2017
1153,0,1,1,0332,003,5,43,2016
1310,0,1,1,1935,019,43,7,2016
0810,0,1,1,2033,020,48,3,2008
1153,0,1,1,1821,018,42,8,2017
0870,0,1,1,0122,001,42,32,2017
0810,0,1,1,1831,018,42,8,2017
0870,0,1,1,0122,001,42,32,2017
1150,0,1,1,0833,008,13,65,2017
0910,0,1,1,0213,002,3,38,2017
1360,0,1,1,1924,019,44,6,2017
1130,0,1,1,0832,008,15,66,2017
1562,0,1,1,2533,025,31,19,2012
041,0,1,1,0621,006,17,71,2008
1153,0,1,1,0114,001,42,32,2014
1153,0,1,1,0123,001,2,32,2014
1153,0,1,1,0133,001,2,33,2014
1320,0,1,1,1611,016,41,10,2008
1153,0,1,1,1622,016,38,15,2015
2017,0,0,1,0823,008,15,66,2016
2093,0,0,1,1134,011,24,29,2017
2093,0,0,1,1134,011,24,29,2017
2024,0,0,1,0932,009,16,61,2017
2031,0,0,1,1654,016,41,76,2017
2014,0,0,1,1123,011,28,27,2017
0820,0,1,1,0912,009,12,58,2008
0810,0,1,1,0114,001,42,32,2017
1544,0,1,1,1024,010,24,30,2013
2027,0,0,1,2232,022,34,73,2006
1130,0,1,1,1823,018,27,8,2017
0265,0,1,1,0811,008,23,56,2012
1150,0,1,1,1833,018,42,8,2017
1195,0,1,1,0631,006,6,44,2011
1153,0,1,1,0623,006,17,69,2017
0890,0,1,1,2424,024,49,1,2017
1153,0,1,1,1834,018,42,8,2018
0620,0,1,1,0624,006,6,69,2017
1210,0,1,1,0734,007,17,67,2017
4651,0,0,1,0621,006,17,71,2017
2024,0,0,1,2223,022,21,71,2017
2820,0,1,1,2532,025,37,25,2016
5000,0,1,1,1021,010,24,29,2015
